Gene Name,Time,value
SPBC29A3.01,60,2.4482979499999997
SPBC359.05,60,3.246261225
SPAC11E3.09,60,3.5476930750000006
SPBC3H7.09,60,2.029174525
SPAC227.18,60,1.9287155
SPAC2E12.03c,60,3.499496325
SPBC887.15c,60,2.6110116000000003
SPCC4F11.04c,60,2.6450186249999996
SPAC869.02c,60,3.804602925
SPAC56E4.03,60,2.258382975
SPBC19C2.04c,60,0.7515740275
